palabra,freq
prefiero,1
escucharlos,1
escucha,1
libera,1
dolordel,1
aspecto,1
dolor,1
pone,1
amor,1
propio,1
genera,1
bronca,1
produce,1
creo,4
permitido,1
mantenerme,1
sano,1
largo,2
experiencia,2
política,2
odiar,2
nadie,5
secreto,1
fundamental,1
ningún,2
otros,1
enormemente,1
corrosivo,1
matándote,1
quien,1
odia,1
termina,1
apropiándose,1
dominarlo,1
completo,1
expresidenta,1
está,1
estuvo,1
mandatos,1
padecimiento,1
interno,1
grande,1
verdad,1
sufrimiento,1
dura,1
serie,1
resueltas,1
ella,3
debe,1
saberlas,1
psicología,1
compleja,1
casodespués,1
estado,1
secuestrado,1
opté,1
psicoanálisis,1
precisamente,1
alejarme,1
construcciones,1
artificiales,1
entenderme,1
persona,1
hoy,2
construcción,1
artificial,1
irreal,1
cree,1
verdadse,1
convencidode,1
problemas,1
justicia,1
son,1
producto,1
decisiones,1
arbitrarias,1
jueces,1
jamás,2
preocupé,1
sola,1
causa,1
ella,1
juez,1
acerca,1
causas,1
tal,1
explique,1
permanente,1
deseo,1
venganza,1
sociedad,2
donde,2
exista,1
ley,1
ley,1
sea,1
igual,1
pueda,1
cometer,1
abusos,1
voy,1
cómplice,1
ocultar,1
tampoco,1
puedo,1
hacerme,1
cargo,1
cuestiones,1
correspondenesto,1
también,4
fanáticos,1
pedían,1
metiera,1
presa,1
tarea,2
meter,1
preso,1
respetar,1
fomentar,1
independencia,1
poderes,1
preguntaron,1
cómo,1
hago,1
han,1
hecho,1
dicho,1
sabiduría,1
viene,1
tema,1
he,1
autodidacta,1
muchachos,1
grandes,3
tomado,1
punto,1
llamaría,1
bullying,1
cincuenta,1
normal,1
chicos,1
hostigaran,1
ambos,2
fuertes,1
aprender,1
resistir,1
bancar,1
manera,3
hubieran,1
partido,1
cabeza,1
cura,1
agarró,1
maltrataba,1
casos,1
estoy,1
acostumbrado,1
enfrentar,1
prejuicios,2
algunas,1
personas:,1
hijo,2
italiano,1
inmigrante,1
provenir,1
rica,1
empresario,1
poderoso,1
le,1
sumar,1
subestimación,1
ingresar,1
ámbitos,1
ajenos,1
dirigencia,1
hizo,1
fortaleciera,1
estar,2
atento,1
propios,1
subestimar,1
17,1
años,1
libro,2
impacto,1
fuerte,1
temas:,1
libertad,1
dominique,1
lapierre,1
larry,1
collins,1
biografía,1
novelada,1
mahatma,1
gandhi,1
historia,1
india,1
1947,1
